City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Komsomolskiy,UZ,2022-05-19 14:15:50,40.4272,71.7189,83.12,28,100,4.61
91,Meulaboh,ID,2022-05-19 14:15:50,4.1363,96.1285,80.31,79,100,3.89
92,Comodoro Rivadavia,AR,2022-05-19 14:13:41,-45.8667,-67.5,44.46,61,20,1.14
93,Nome,US,2022-05-19 14:15:50,64.5011,-165.4064,28.47,93,100,3.44
94,Sumkino,RU,2022-05-19 14:15:50,58.1108,68.3244,51.42,82,100,13.6
95,Kemijarvi,FI,2022-05-19 14:15:51,66.7131,27.4306,47.3,42,100,6.96
96,Sterling,US,2022-05-19 14:15:51,39.0062,-77.4286,73.24,82,20,4.61
97,Arlit,NE,2022-05-19 14:15:51,18.7369,7.3853,105.19,9,77,6.98
98,Kudahuvadhoo,MV,2022-05-19 14:15:51,2.6708,72.8944,83.46,78,100,12.1
99,Norman Wells,CA,2022-05-19 14:15:51,65.282,-126.8329,37.44,87,75,3.44
100,Ust-Kuyga,RU,2022-05-19 14:15:51,70.0167,135.6,30.42,93,100,3.89
101,Moyale,KE,2022-05-19 14:15:52,3.5167,39.0584,71.71,73,86,6.26
102,Castro,BR,2022-05-19 14:15:52,-24.7911,-50.0119,52.47,60,0,9.13
103,Moengo,SR,2022-05-19 14:15:52,5.6167,-54.4,85.3,62,68,4.68
104,Half Moon Bay,US,2022-05-19 14:15:52,37.4636,-122.4286,62.89,81,0,24.16
105,Mahebourg,MU,2022-05-19 14:15:52,-20.4081,57.7,75.49,73,40,6.91
106,Flinders,AU,2022-05-19 14:15:53,-34.5833,150.8552,51.39,80,99,3.0
107,Beloha,MG,2022-05-19 14:15:53,-25.1667,45.05,78.85,43,0,8.72
108,Krasnovka,RU,2022-05-19 14:15:53,48.8177,40.0923,55.22,80,92,8.84
109,Pokosnoye,RU,2022-05-19 14:15:54,55.5258,101.0536,63.68,45,99,2.8
110,Esperance,AU,2022-05-19 14:15:54,-33.8667,121.9,57.04,75,100,2.42
111,Upernavik,GL,2022-05-19 14:15:54,72.7868,-56.1549,23.49,79,10,9.17
112,Kpandu,GH,2022-05-19 14:15:54,6.9954,0.2931,86.65,63,88,7.76
113,Port Elizabeth,ZA,2022-05-19 14:15:54,-33.918,25.5701,59.31,96,75,11.5
114,Arraial Do Cabo,BR,2022-05-19 14:15:54,-22.9661,-42.0278,71.56,53,40,28.77
115,Ahipara,NZ,2022-05-19 14:15:55,-35.1667,173.1667,61.21,85,15,8.52
116,General Pico,AR,2022-05-19 14:15:55,-35.6566,-63.7568,48.22,49,100,10.31
117,Starkville,US,2022-05-19 14:15:55,33.4504,-88.8184,78.24,78,95,9.98
118,Richards Bay,ZA,2022-05-19 14:15:55,-28.783,32.0377,78.98,52,0,7.34
119,Isangel,VU,2022-05-19 14:15:55,-19.55,169.2667,75.04,91,100,18.9
120,East London,ZA,2022-05-19 14:15:56,-33.0153,27.9116,65.34,94,75,16.11
121,Kruisfontein,ZA,2022-05-19 14:15:56,-34.0033,24.7314,55.89,92,100,13.13
122,Sao Filipe,CV,2022-05-19 14:15:56,14.8961,-24.4956,77.56,63,12,9.42
123,Luderitz,NA,2022-05-19 14:15:56,-26.6481,15.1594,60.75,72,99,18.48
124,Hasaki,JP,2022-05-19 14:15:56,35.7333,140.8333,63.28,76,100,17.58
125,Adre,TD,2022-05-19 14:15:57,13.4667,22.2,101.26,9,16,11.97
126,Cidreira,BR,2022-05-19 14:15:57,-30.1811,-50.2056,59.9,78,93,13.58
127,Killybegs,IE,2022-05-19 14:15:57,54.6333,-8.45,60.51,69,100,23.89
128,Derzhavinsk,KZ,2022-05-19 14:15:57,51.1,66.3167,61.56,46,100,16.93
129,Botwood,CA,2022-05-19 14:15:57,49.1499,-55.3482,50.9,68,100,10.18
130,Bytow,PL,2022-05-19 14:13:37,54.1706,17.4919,77.18,36,99,10.02
131,Airai,TL,2022-05-19 14:15:58,-8.9266,125.4092,58.51,88,13,3.51
132,Thompson,CA,2022-05-19 14:15:58,55.7435,-97.8558,33.96,64,40,11.5
133,Pierre,US,2022-05-19 14:15:58,44.3683,-100.351,59.86,54,0,13.8
134,Qax,AZ,2022-05-19 14:15:58,41.4225,46.9242,77.99,45,0,2.84
135,Mudgal,IN,2022-05-19 14:15:59,16.0167,76.4333,77.83,77,100,4.18
136,Coahuayana,MX,2022-05-19 14:15:59,18.7333,-103.6833,77.76,34,93,1.48
137,Yulara,AU,2022-05-19 14:15:59,-25.2406,130.9889,58.23,56,1,12.64
